subEventName,description,count
Touch,"Counter attack, Opportunity, Missed ball",2.0
Cross,"Counter attack, Left foot, High, Accurate",2.0
Save attempt,"Goal, Position: Goal center left, Not accurate",2.0
Free kick shot,"Right foot, Direct, Opportunity, Position: Goal high center, Accurate",2.0
Shot,"Goal, Left foot, Opportunity, Position: Goal center, Accurate",2.0
Cross,"Counter attack, Left foot, Accurate",2.0
Penalty,"Right foot, Position: Goal center, Not accurate",2.0
Ground attacking duel,"Interception, Take on right, Neutral, Accurate",2.0
Penalty,"Goal, Left foot, Position: Goal low center, Accurate",2.0
Penalty,"Right foot, Position: Goal low center, Not accurate",2.0
Shot,"Goal, Head/body, Opportunity, Position: Goal low center, Accurate",2.0
Shot,"Head/body, Position: Out low left, Not accurate",2.0
Ground attacking duel,"Counter attack, Free space right, Lost, Not accurate",2.0
Simple pass,No specific tags,2.0
Free kick shot,"Right foot, Direct, Opportunity, Position: Goal low right, Accurate",2.0
Ground defending duel,"Take on left, Sliding tackle, Anticipated, Neutral, Accurate",2.0
Ground attacking duel,"Counter attack, Free space left, Neutral, Accurate",2.0
Penalty,"Goal, Left foot, Position: Goal low left, Accurate",1.0
Shot,"Right foot, Opportunity, Position: Post center right, Not accurate",1.0
Free kick shot,"Left foot, Direct, Opportunity, Position: Goal center left, Accurate",1.0
Free kick shot,"Left foot, Direct, Opportunity, Position: Goal low center, Accurate",1.0
Ground attacking duel,"Opportunity, Take on right, Lost, Not accurate",1.0
Cross,"Key pass, Head/body, High, Accurate",1.0
Shot,"Goal, Head/body, Opportunity, Position: Goal high left, Accurate",1.0
Shot,"Assist, Left foot, Blocked, Opportunity, Not accurate",1.0
Shot,"Goal, Right foot, Interception, Opportunity, Position: Goal low center, Accurate",1.0
Ground attacking duel,"Counter attack, Interception, Won, Accurate",1.0
Shot,"Left foot, Opportunity, Position: Out center right, Not accurate",1.0
Smart pass,"Assist, Counter attack, Through, Not accurate",1.0
Free kick shot,"Right foot, Direct, Position: Out high left, Not accurate",1.0
Ground defending duel,"Counter attack, Take on left, Won, Accurate",1.0
Shot,"Right foot, Opportunity, Position: Post low left, Not accurate",1.0
Penalty,"Right foot, Position: Out low left, Not accurate",1.0
Hand pass,"Interception, Not accurate",1.0
Ground attacking duel,"Opportunity, Free space right, Won, Accurate",1.0
Smart pass,"Interception, Accurate",1.0
Touch,Key pass,1.0
Ground attacking duel,"Counter attack, Interception, Take on left, Won, Accurate",1.0
Shot,"Counter attack, Left foot, Position: Out high left, Not accurate",1.0
High pass,"Key pass, Through, Not accurate",1.0
Shot,"Counter attack, Right foot, Opportunity, Position: Out low right, Not accurate",1.0
Smart pass,"Interception, Through, Accurate",1.0
Shot,"Left foot, Opportunity, Position: Post low right, Not accurate",1.0
Shot,"Head/body, Opportunity, Position: Goal high left, Accurate",1.0
Shot,"Key pass, Right foot, Position: Out center left, Not accurate",1.0
Save attempt,"Goal, Not accurate",1.0
Cross,"Key pass, Counter attack, Left foot, High, Accurate",1.0
Free kick shot,"Right foot, Direct, Position: Out center left, Not accurate",1.0
Ground defending duel,"Counter attack, Take on left, Sliding tackle, Won, Accurate",1.0
Hand foul,Red card,1.0
Free kick shot,"Goal, Left foot, Direct, Opportunity, Position: Goal low right, Accurate",1.0
Shot,"Counter attack, Right foot, Opportunity, Position: Goal center right, Accurate",1.0
Shot,"Head/body, Position: Out center right, Not accurate",1.0
Cross,"Assist, Left foot, High, Not accurate",1.0
Smart pass,"Interception, Through, Not accurate",1.0
Free kick shot,"Left foot, Direct, Opportunity, Position: Out low left, Not accurate",1.0
Clearance,"Dangerous ball lost, Interception, Not accurate",1.0
Shot,"Counter attack, Right foot, Opportunity, Position: Post high right, Not accurate",1.0
Free kick shot,"Left foot, Direct, Opportunity, Position: Goal low left, Accurate",1.0
Free kick shot,"Right foot, Indirect, Position: Out high right, Not accurate",1.0
Free kick shot,"Right foot, Direct, Position: Out high right, Not accurate",1.0
Ground defending duel,"Free space left, Sliding tackle, Anticipated, Neutral, Accurate",1.0
Free kick shot,"Left foot, Direct, Opportunity, Position: Post high right, Not accurate",1.0
Shot,"Goal, Left foot, Interception, Opportunity, Position: Goal low center, Accurate",1.0
Ground attacking duel,"Interception, Take on left, Neutral, Accurate",1.0
Reflexes,"Counter attack, Position: Goal center right, Accurate",1.0
Shot,"Left foot, Position: Out low left, Not accurate",1.0
Penalty,"Left foot, Position: Goal center, Not accurate",1.0
Clearance,"Dangerous ball lost, Accurate",1.0
Ground attacking duel,"Opportunity, Take on right, Won, Accurate",1.0
Ground defending duel,"Free space right, Sliding tackle, Anticipated, Neutral, Accurate",1.0
Ground defending duel,"Free space right, Sliding tackle, Anticipated, Won, Accurate",1.0
Shot,"Goal, Right foot, Opportunity, Position: Goal high center, Accurate",1.0
Ground defending duel,"Counter attack, Free space right, Sliding tackle, Won, Accurate",1.0
Free kick shot,"Right foot, Direct, Opportunity, Position: Post high left, Not accurate",1.0
Ground defending duel,"Counter attack, Take on right, Neutral, Accurate",1.0
Cross,"Assist, Counter attack, Right foot, Accurate",1.0
Shot,"Goal, Counter attack, Right foot, Opportunity, Position: Goal high center, Accurate",1.0
Shot,"Goal, Counter attack, Right foot, Opportunity, Position: Goal center right, Accurate",1.0
Ground attacking duel,"Sliding tackle, Anticipation, Lost, Not accurate",1.0
Penalty,"Right foot, Position: Out high right, Not accurate",1.0
Simple pass,"Key pass, Interception, Accurate",1.0
Shot,"Head/body, Position: Out high center, Not accurate",1.0
Touch,"Opportunity, Feint",1.0
Ground loose ball duel,"Counter attack, Sliding tackle, Neutral, Accurate",1.0
Hand foul,Counter attack,1.0
Smart pass,"Interception, Not accurate",1.0
Ground attacking duel,"Take on left, Sliding tackle, Anticipation, Neutral, Accurate",1.0
Cross,"Head/body, Not accurate",1.0
Smart pass,"Assist, Accurate",1.0
Shot,"Right foot, Interception, Opportunity, Position: Out high right, Not accurate",1.0
Penalty,"Left foot, Position: Goal center left, Not accurate",1.0
Touch,"Counter attack, Opportunity",1.0
Penalty,"Goal, Left foot, Position: Goal center right, Accurate",1.0
Penalty,"Right foot, Position: Out high left, Not accurate",1.0
Shot,"Goal, Counter attack, Left foot, Opportunity, Position: Goal low left, Accurate",1.0
Simple pass,"Key pass, Not accurate",1.0
Reflexes,"Counter attack, Position: Goal low center, Accurate",1.0
Shot,"Goal, Left foot, Opportunity, Position: Goal high center, Accurate",1.0
Free kick shot,"Left foot, Direct, Opportunity, Position: Goal center right, Accurate",1.0
Throw in,"Counter attack, Accurate",1.0
Touch,"Key pass, Feint",1.0
Shot,"Right foot, Interception, Opportunity, Position: Goal low center, Accurate",1.0
Shot,"Right foot, Opportunity, Position: Goal high left, Accurate",1.0
Free kick shot,"Goal, Left foot, Direct, Opportunity, Position: Goal high right, Accurate",1.0
Ground attacking duel,"Counter attack, Opportunity, Free space right, Won, Accurate",1.0
Shot,"Left foot, Interception, Opportunity, Position: Out low right, Not accurate",1.0
Free kick shot,"Left foot, Direct, Opportunity, Position: Goal center, Accurate",1.0
Shot,"Right foot, Interception, Position: Out low left, Not accurate",1.0
Free kick shot,"Goal, Right foot, Direct, Opportunity, Position: Goal center right, Accurate",1.0
Shot,"Counter attack, Left foot, Position: Out low left, Not accurate",1.0
Penalty,"Right foot, Position: Goal center right, Not accurate",1.0
Ground defending duel,"Counter attack, Free space right, Anticipated, Won, Accurate",1.0
Ground attacking duel,"Dangerous ball lost, Interception, Lost, Not accurate",1.0
Free kick shot,"Right foot, Direct, Opportunity, Position: Post center right, Not accurate",1.0
Ground attacking duel,"Sliding tackle, Neutral, Accurate",1.0
Head pass,"Counter attack, Interception, Not accurate",1.0
Free kick shot,"Right foot, Direct, Position: Out high center, Not accurate",1.0
Free Kick,"Assist, Not accurate",1.0
Penalty,"Goal, Left foot, Position: Goal high center, Accurate",1.0
Ground attacking duel,"Sliding tackle, Lost, Not accurate",1.0
Save attempt,"Counter attack, Position: Goal center left, Accurate",1.0
Corner,"Assist, High, Not accurate",1.0
Penalty,"Goal, Left foot, Position: Goal center left, Accurate",1.0
Ground attacking duel,"Interception, Anticipation, Lost, Not accurate",1.0
Ground attacking duel,"Counter attack, Take on right, Anticipation, Lost, Not accurate",1.0
Shot,"Goal, Counter attack, Left foot, Opportunity, Position: Goal center left, Accurate",1.0
Ground attacking duel,"Opportunity, Take on left, Lost, Not accurate",1.0
Shot,"Left foot, Interception, Position: Out low right, Not accurate",1.0
Ground defending duel,"Take on left, Yellow card, Lost, Not accurate",1.0
Penalty,"Left foot, Position: Post high right, Not accurate",1.0
Ground defending duel,"Counter attack, Free space left, Sliding tackle, Anticipated, Won, Accurate",1.0
Ground attacking duel,"Counter attack, Interception, Take on right, Won, Accurate",1.0
Shot,"Counter attack, Right foot, Position: Out high right, Not accurate",1.0
Shot,"Right foot, Position: Out center left, Not accurate",1.0
Shot,"Left foot, Opportunity, Position: Post center left, Not accurate",1.0
Free kick shot,"Goal, Right foot, Indirect, Opportunity, Position: Goal center right, Accurate",1.0
Penalty,"Goal, Left foot, Position: Goal center, Accurate",1.0
High pass,"Key pass, Interception, Through, Accurate",1.0
Ground attacking duel,"Counter attack, Anticipation, Won, Accurate",1.0
Cross,"Key pass, Counter attack, Right foot, High, Accurate",1.0
Shot,"Counter attack, Head/body, Opportunity, Position: Out high left, Not accurate",1.0
Free kick cross,"Blocked, Not accurate",1.0
Shot,"Head/body, Interception, Opportunity, Position: Out center left, Not accurate",1.0
Free kick shot,"Goal, Right foot, Direct, Opportunity, Position: Goal low right, Accurate",1.0
Cross,"Key pass, Counter attack, Left foot, Accurate",1.0
Corner,"High, Opportunity, Not accurate",1.0
Shot,"Left foot, Opportunity, Position: Goal high right, Accurate",1.0
Simple pass,"Counter attack, Dangerous ball lost, Not accurate",1.0
High pass,"Assist, Counter attack, Interception, Through, Accurate",1.0
Simulation,Yellow card,1.0
Ground attacking duel,"Interception, Take on left, Anticipation, Won, Accurate",1.0
Ground defending duel,"Take on left, Sliding tackle, Anticipated, Lost, Not accurate",1.0
Shot,"Counter attack, Right foot, Opportunity, Position: Goal high right, Accurate",1.0
Reflexes,"Position: Goal high right, Accurate",1.0
Shot,"Left foot, Interception, Opportunity, Position: Out low left, Not accurate",1.0
Corner,"Key pass, Opportunity, Accurate",1.0
Free kick shot,"Right foot, Direct, Opportunity, Position: Goal low left, Accurate",1.0
Shot,"Head/body, Position: Goal high left, Accurate",1.0
Shot,"Right foot, Opportunity, Position: Post low right, Not accurate",1.0
Free kick shot,"Right foot, Direct, Opportunity, Position: Out low left, Not accurate",1.0
Shot,"Left foot, Position: Out center left, Not accurate",1.0
Shot,"Counter attack, Left foot, Opportunity, Position: Goal low right, Accurate",1.0
Shot,"Goal, Counter attack, Left foot, Opportunity, Position: Goal low right, Accurate",1.0
High pass,"Assist, Through, Not accurate",1.0
Penalty,"Right foot, Position: Goal low left, Not accurate",1.0
Ground defending duel,"Take on right, Sliding tackle, Anticipated, Neutral, Accurate",1.0
Penalty,"Left foot, Position: Goal low left, Not accurate",1.0
Ground defending duel,"Take on right, Sliding tackle, Anticipated, Won, Accurate",1.0
Ground defending duel,"Free space left, Sliding tackle, Anticipated, Lost, Not accurate",1.0
Shot,"Counter attack, Right foot, Position: Out center right, Not accurate",1.0
Simple pass,"Assist, Not accurate",1.0
Free kick shot,"Right foot, Direct, Blocked, Opportunity, Not accurate",1.0
Ground attacking duel,"Free space left, Sliding tackle, Anticipation, Won, Accurate",1.0
Ground attacking duel,"Interception, Free space left, Neutral, Accurate",1.0
Foul,Red card,1.0
Ground loose ball duel,"Interception, Neutral, Accurate",1.0
Free kick shot,"Right foot, Direct, Opportunity, Position: Out center left, Not accurate",1.0
Penalty,"Right foot, Position: Post high right, Not accurate",1.0
Shot,"Right foot, Blocked, Interception, Not accurate",1.0
Save attempt,"Goal, Position: Goal center, Not accurate",1.0
,No specific tags,
,Counter attack,
